16077253	7.4
17021936	5.4
17052424	5.5
17054206	5.4
17059496	5.7
17062780	6.6
17082153	4.7
17094879	5.7
17128560	6.9
17137454	8.2
17139678	6
13046535	8.1
13123580	6.9
15049426	4.5
16011104	7.2
16012259	3.5
16030451	6.6
16049284	8.5
16073312	9
16085256	5
16092201	9
16102037	6.8
16105370	4.1
16109031	6.2
16129660	3.5
16132327	5.6
17001463	5.6
17009812	8.4
17014387	6.6
17015111	7.7
17015413	5.9
17017459	5.8
17017475	8.6
17026091	7.4
17031656	5.6
17038391	9.6
17039231	5.6
17039770	8.7
17040450	8.6
17040752	5.7
17041813	9.6
17042690	8.6
17044960	5.8
17047145	9.8
17048230	7.1
17051339	7.6
17052386	7.5
17054141	6.3
17055148	6.2
17056306	4
17062179	5.8
17063264	6.9
17067499	5.9
17068029	7.5
17068541	9.1
17068975	4.7
17069610	6.8
17071410	5.8
17071488	4.8
17075424	7.7
17079160	9
17085659	5.8
17086299	4.2
17086620	7.6
17094992	6.8
17095107	7.6
17095824	8.1
17098351	6.5
17099544	8
17099986	9.1
17100178	5.4
17104343	7.9
17105331	7.8
17109272	5.8
17109817	8.7
17110513	1.5
17116562	7.2
17125383	6.8
17126975	6.2
17127874	3.8
17130182	4.6
17136423	5.4
17142385	9.4
17006953	NA
12074748	NA
16021754	NA
17082625	NA
16106075	NA
17080533	NA
17060311	NA
17085187	NA
17029198	NA
14068826	NA
17041740	NA
17039436	NA
17114993	NA
17054176	NA
17083303	NA
17143802	NA
17119359	NA
16013891	NA
17019923	NA
17027284	NA
15105997	NA
09007520	NA
17067278	NA
